alpha,MSE,MAE,Time
65,0.849517,0.917880,10781018
66,0.816967,0.902069,21821949
67,0.772457,0.875969,15169227
68,0.750795,0.862188,30736065
69,0.747129,0.860887,20721271
70,0.793143,0.887134,26995377
71,0.806064,0.895265,21492295
72,0.794093,0.889004,1588063
73,0.827572,0.908622,17693232
74,0.730989,0.850903,37673122
75,0.814499,0.900370,37631671
76,0.859421,0.926006,29147353
77,0.806274,0.896329,11493686
78,0.738351,0.852376,29858174
79,0.791503,0.886128,25873677
80,0.930050,0.963167,14313819
81,0.748863,0.858936,27809520
82,0.829326,0.907209,6710162
83,0.763835,0.872118,17792968
84,0.768380,0.875062,35580526
85,0.810573,0.897609,33523737
86,0.787610,0.886224,13355186
87,0.746618,0.861744,9256945
88,0.783782,0.882516,36118117
89,0.828919,0.909108,14164697
90,0.743830,0.855909,27761350
91,0.759302,0.868972,38669016
92,0.755733,0.865119,23798108
93,0.783947,0.883342,26574118
94,0.807188,0.895915,34715390
95,0.807711,0.896429,17770950
96,0.802549,0.893028,37355137
97,0.778617,0.879843,16108380
98,0.793690,0.889412,32940178
99,0.749070,0.863001,27662243
100,0.764093,0.870284,36829651
101,0.778468,0.879544,19506595
102,0.837164,0.911238,8725578
103,0.803884,0.895476,38417715
104,0.728620,0.846662,37199828
105,0.783214,0.883550,5969740
106,0.734909,0.852353,35620427
107,0.821389,0.904658,25918221
108,0.769258,0.875660,17463427
109,0.773233,0.877404,25049641
110,0.794811,0.890130,11362939
111,0.770225,0.874352,31777247
112,0.836965,0.913341,12430202
113,0.770715,0.874344,18073102
114,0.840767,0.913286,9141255
115,0.751109,0.864682,7581768
116,0.851795,0.919458,11167880
117,0.830524,0.909529,22496442
118,0.805719,0.894691,16838713
119,0.780955,0.880471,6857038
120,0.840639,0.915599,36661139
121,0.799425,0.892657,4171103
122,0.840177,0.914554,5097094
123,0.810143,0.897960,20030288
124,0.748621,0.860942,30745222
125,0.725503,0.846945,39812485
126,0.812361,0.899882,37801238
127,0.738128,0.852288,27671400
128,0.726784,0.849839,15491905
129,0.726133,0.847006,30312457
130,0.806406,0.895092,14904683
131,0.844297,0.915414,11892597
132,0.904917,0.949928,9390092
133,0.738619,0.854890,23630262
134,0.743709,0.859600,9881352
135,0.885996,0.939583,6160960
136,0.819870,0.902871,29600003
137,0.757039,0.868044,5072819
138,0.730216,0.849469,32079182
139,0.891601,0.942652,6634470
140,0.825823,0.906982,30122461
141,0.781990,0.882504,3013162
142,0.795755,0.889255,38411717
143,0.814536,0.901287,2123703
144,0.765818,0.872374,21086265
145,0.787032,0.884952,7124013
146,0.838443,0.914099,9705472
147,0.740985,0.858702,32254145
148,0.738033,0.853967,29620455
149,0.735556,0.854958,26544185
150,0.732717,0.850960,39111183
151,0.736814,0.856392,25852635
152,0.718646,0.842385,30715289
153,0.879753,0.936452,3779318
154,0.780894,0.882127,5453964
155,0.846654,0.919017,21031552
156,0.798809,0.891966,3162844
157,0.813623,0.899936,2826242
