alpha,MSE,MAE,Time
353,0.915685,0.955516,961521
354,0.831305,0.909537,6567852
355,0.913176,0.954131,108981512
356,0.856939,0.922520,6960114
357,0.818286,0.903025,145031680
358,0.819728,0.904083,44348792
359,0.911294,0.953677,25315450
360,0.834570,0.911855,5509352
361,0.811595,0.899494,94799689
362,0.820333,0.904431,42105759
363,0.834570,0.911855,54006839
364,0.838330,0.913923,110702114
365,0.875709,0.934485,80514123
366,0.840783,0.913994,37299347
367,0.808279,0.897545,96792629
368,0.846383,0.918317,30867534
369,0.902232,0.948280,110269176
370,0.880247,0.936804,330585
371,0.788502,0.884989,114462640
372,0.787652,0.884334,80360719
373,0.881321,0.937200,58822721
374,0.820333,0.904431,71994983
375,0.833631,0.911246,12628069
376,0.846887,0.918607,19983967
377,0.841530,0.915430,138865109
378,0.820122,0.904295,68738927
379,0.836924,0.912269,103512152
380,0.857980,0.924474,115043180
381,0.836668,0.912734,78833918
382,0.813702,0.899978,59154734
383,0.820333,0.904431,148065319
