alpha,MSE,MAE,Time
733,0.245221,0.485773,621165
734,0.277855,0.523407,345521
735,0.291354,0.535480,214714
736,0.326079,0.568545,1647447
737,0.205924,0.444124,116783
738,0.225088,0.467728,288116
739,0.228719,0.469704,520677
740,0.570879,0.752269,650471
741,0.432437,0.656379,1120260
742,0.212421,0.452468,1624737
743,0.258155,0.500874,1745911
744,0.315351,0.556905,1704687
745,0.249351,0.494318,273677
746,0.240044,0.484649,814041
747,0.226569,0.468318,1320990
748,0.209703,0.447096,1716218
749,0.567652,0.751584,2222703
750,0.234166,0.477093,2028589
751,0.200221,0.435971,795950
752,0.255330,0.500846,2306601
753,0.284934,0.529913,2119479
754,0.211620,0.451690,1903117
755,0.333550,0.574263,228098
756,0.613865,0.781895,1953315
757,0.211626,0.451914,2124733
758,0.294308,0.537475,1761889
759,0.364010,0.601197,1780089
760,0.203499,0.439838,1743845
